"Season","Week Start","Week End","Week","Location","Care Type","1-Week Percent COVID-19","dtm_updated"
"2022-2023",2022-12-18 00:00:00,2022-12-24 00:00:00,51,"Southwest Washington","Emergency Visits","3.5",2024-04-16 07:58:20
"2022-2023",2022-12-18 00:00:00,2022-12-24 00:00:00,51,"Statewide","Hospitalizations","4.8",2024-04-16 07:58:20
"2022-2023",2022-12-18 00:00:00,2022-12-24 00:00:00,51,"Statewide","Emergency Visits","3.1",2024-04-16 07:58:20
"2022-2023",2022-12-18 00:00:00,2022-12-24 00:00:00,51,"Thriving Together NCW","Hospitalizations","2.3",2024-04-16 07:58:20
"2022-2023",2022-12-18 00:00:00,2022-12-24 00:00:00,51,"Thriving Together NCW","Emergency Visits","2",2024-04-16 07:58:20
"2022-2023",2022-12-18 00:00:00,2022-12-24 00:00:00,51,"Unassigned ACH Region","Hospitalizations",,2024-04-16 07:58:20
"2022-2023",2022-12-18 00:00:00,2022-12-24 00:00:00,51,"Unassigned ACH Region","Emergency Visits",,2024-04-16 07:58:20
"2022-2023",2022-12-25 00:00:00,2022-12-31 00:00:00,52,"Better Health Together","Hospitalizations","5.3",2024-04-16 07:58:20
"2022-2023",2022-12-25 00:00:00,2022-12-31 00:00:00,52,"Better Health Together","Emergency Visits","2.6",2024-04-16 07:58:20
"2022-2023",2022-12-25 00:00:00,2022-12-31 00:00:00,52,"Cascade Pacific Action Alliance","Hospitalizations","5.8",2024-04-16 07:58:20
"2022-2023",2022-12-25 00:00:00,2022-12-31 00:00:00,52,"Cascade Pacific Action Alliance","Emergency Visits","2.6",2024-04-16 07:58:20
"2022-2023",2022-12-25 00:00:00,2022-12-31 00:00:00,52,"Elevate Health","Hospitalizations","5.1",2024-04-16 07:58:20
"2022-2023",2022-12-25 00:00:00,2022-12-31 00:00:00,52,"Elevate Health","Emergency Visits","3.4",2024-04-16 07:58:20
"2022-2023",2022-12-25 00:00:00,2022-12-31 00:00:00,52,"Greater Health Now","Hospitalizations","4.5",2024-04-16 07:58:20
"2022-2023",2022-12-25 00:00:00,2022-12-31 00:00:00,52,"Greater Health Now","Emergency Visits","2.3",2024-04-16 07:58:20
"2022-2023",2022-12-25 00:00:00,2022-12-31 00:00:00,52,"Healthier Here","Hospitalizations","4.4",2024-04-16 07:58:20
"2022-2023",2022-12-25 00:00:00,2022-12-31 00:00:00,52,"Healthier Here","Emergency Visits","3.2",2024-04-16 07:58:20
"2022-2023",2022-12-25 00:00:00,2022-12-31 00:00:00,52,"North Sound","Hospitalizations","6.7",2024-04-16 07:58:20
"2022-2023",2022-12-25 00:00:00,2022-12-31 00:00:00,52,"North Sound","Emergency Visits","3.5",2024-04-16 07:58:20
"2022-2023",2022-12-25 00:00:00,2022-12-31 00:00:00,52,"Olympic Community of Health","Hospitalizations","4",2024-04-16 07:58:20
"2022-2023",2022-12-25 00:00:00,2022-12-31 00:00:00,52,"Olympic Community of Health","Emergency Visits","3.1",2024-04-16 07:58:20
"2022-2023",2022-12-25 00:00:00,2022-12-31 00:00:00,52,"Southwest Washington","Hospitalizations","5.9",2024-04-16 07:58:20
"2022-2023",2022-12-25 00:00:00,2022-12-31 00:00:00,52,"Southwest Washington","Emergency Visits","3",2024-04-16 07:58:20
"2022-2023",2022-12-25 00:00:00,2022-12-31 00:00:00,52,"Statewide","Hospitalizations","5",2024-04-16 07:58:20
"2022-2023",2022-12-25 00:00:00,2022-12-31 00:00:00,52,"Statewide","Emergency Visits","3",2024-04-16 07:58:20
"2022-2023",2022-12-25 00:00:00,2022-12-31 00:00:00,52,"Thriving Together NCW","Hospitalizations","2.5",2024-04-16 07:58:20
"2022-2023",2022-12-25 00:00:00,2022-12-31 00:00:00,52,"Thriving Together NCW","Emergency Visits","2.1",2024-04-16 07:58:20
"2022-2023",2022-12-25 00:00:00,2022-12-31 00:00:00,52,"Unassigned ACH Region","Hospitalizations",,2024-04-16 07:58:20
"2022-2023",2022-12-25 00:00:00,2022-12-31 00:00:00,52,"Unassigned ACH Region","Emergency Visits",,2024-04-16 07:58:20
"2022-2023",2023-01-01 00:00:00,2023-01-07 00:00:00,1,"Better Health Together","Hospitalizations","5.3",2024-04-16 07:58:20
"2022-2023",2023-01-01 00:00:00,2023-01-07 00:00:00,1,"Better Health Together","Emergency Visits","2.5",2024-04-16 07:58:20
"2022-2023",2023-01-01 00:00:00,2023-01-07 00:00:00,1,"Cascade Pacific Action Alliance","Hospitalizations","4.2",2024-04-16 07:58:20
"2022-2023",2023-01-01 00:00:00,2023-01-07 00:00:00,1,"Cascade Pacific Action Alliance","Emergency Visits","2.5",2024-04-16 07:58:20
"2022-2023",2023-01-01 00:00:00,2023-01-07 00:00:00,1,"Elevate Health","Hospitalizations","4.5",2024-04-16 07:58:20
"2022-2023",2023-01-01 00:00:00,2023-01-07 00:00:00,1,"Elevate Health","Emergency Visits","3",2024-04-16 07:58:20
"2022-2023",2023-01-01 00:00:00,2023-01-07 00:00:00,1,"Greater Health Now","Hospitalizations","4.7",2024-04-16 07:58:20
"2022-2023",2023-01-01 00:00:00,2023-01-07 00:00:00,1,"Greater Health Now","Emergency Visits","2.1",2024-04-16 07:58:20
"2022-2023",2023-01-01 00:00:00,2023-01-07 00:00:00,1,"Healthier Here","Hospitalizations","4.4",2024-04-16 07:58:20
"2022-2023",2023-01-01 00:00:00,2023-01-07 00:00:00,1,"Healthier Here","Emergency Visits","3.2",2024-04-16 07:58:20
"2022-2023",2023-01-01 00:00:00,2023-01-07 00:00:00,1,"North Sound","Hospitalizations","6.2",2024-04-16 07:58:20
"2022-2023",2023-01-01 00:00:00,2023-01-07 00:00:00,1,"North Sound","Emergency Visits","3.5",2024-04-16 07:58:20
"2022-2023",2023-01-01 00:00:00,2023-01-07 00:00:00,1,"Olympic Community of Health","Hospitalizations","3.2",2024-04-16 07:58:20
"2022-2023",2023-01-01 00:00:00,2023-01-07 00:00:00,1,"Olympic Community of Health","Emergency Visits","2",2024-04-16 07:58:20
"2022-2023",2023-01-01 00:00:00,2023-01-07 00:00:00,1,"Southwest Washington","Hospitalizations","5.7",2024-04-16 07:58:20
"2022-2023",2023-01-01 00:00:00,2023-01-07 00:00:00,1,"Southwest Washington","Emergency Visits","3",2024-04-16 07:58:20
"2022-2023",2023-01-01 00:00:00,2023-01-07 00:00:00,1,"Statewide","Hospitalizations","4.8",2024-04-16 07:58:20
"2022-2023",2023-01-01 00:00:00,2023-01-07 00:00:00,1,"Statewide","Emergency Visits","2.9",2024-04-16 07:58:20
"2022-2023",2023-01-01 00:00:00,2023-01-07 00:00:00,1,"Thriving Together NCW","Hospitalizations","3.6",2024-04-16 07:58:20
"2022-2023",2023-01-01 00:00:00,2023-01-07 00:00:00,1,"Thriving Together NCW","Emergency Visits","2.4",2024-04-16 07:58:20
"2022-2023",2023-01-01 00:00:00,2023-01-07 00:00:00,1,"Unassigned ACH Region","Hospitalizations",,2024-04-16 07:58:20
"2022-2023",2023-01-01 00:00:00,2023-01-07 00:00:00,1,"Unassigned ACH Region","Emergency Visits",,2024-04-16 07:58:20
"2022-2023",2023-01-08 00:00:00,2023-01-14 00:00:00,2,"Better Health Together","Hospitalizations","4.5",2024-04-16 07:58:20
"2022-2023",2023-01-08 00:00:00,2023-01-14 00:00:00,2,"Better Health Together","Emergency Visits","2.5",2024-04-16 07:58:20
"2022-2023",2023-01-08 00:00:00,2023-01-14 00:00:00,2,"Cascade Pacific Action Alliance","Hospitalizations","3",2024-04-16 07:58:20
"2022-2023",2023-01-08 00:00:00,2023-01-14 00:00:00,2,"Cascade Pacific Action Alliance","Emergency Visits","2.2",2024-04-16 07:58:20
"2022-2023",2023-01-08 00:00:00,2023-01-14 00:00:00,2,"Elevate Health","Hospitalizations","3.7",2024-04-16 07:58:20
"2022-2023",2023-01-08 00:00:00,2023-01-14 00:00:00,2,"Elevate Health","Emergency Visits","2.4",2024-04-16 07:58:20
"2022-2023",2023-01-08 00:00:00,2023-01-14 00:00:00,2,"Greater Health Now","Hospitalizations","2.6",2024-04-16 07:58:20
"2022-2023",2023-01-08 00:00:00,2023-01-14 00:00:00,2,"Greater Health Now","Emergency Visits","1.9",2024-04-16 07:58:20
"2022-2023",2023-01-08 00:00:00,2023-01-14 00:00:00,2,"Healthier Here","Hospitalizations","3.8",2024-04-16 07:58:20
"2022-2023",2023-01-08 00:00:00,2023-01-14 00:00:00,2,"Healthier Here","Emergency Visits","3.2",2024-04-16 07:58:20
"2022-2023",2023-01-08 00:00:00,2023-01-14 00:00:00,2,"North Sound","Hospitalizations","4.2",2024-04-16 07:58:20
"2022-2023",2023-01-08 00:00:00,2023-01-14 00:00:00,2,"North Sound","Emergency Visits","3.1",2024-04-16 07:58:20
"2022-2023",2023-01-08 00:00:00,2023-01-14 00:00:00,2,"Olympic Community of Health","Hospitalizations","5.4",2024-04-16 07:58:20
"2022-2023",2023-01-08 00:00:00,2023-01-14 00:00:00,2,"Olympic Community of Health","Emergency Visits","2.3",2024-04-16 07:58:20
"2022-2023",2023-01-08 00:00:00,2023-01-14 00:00:00,2,"Southwest Washington","Hospitalizations","6.5",2024-04-16 07:58:20
"2022-2023",2023-01-08 00:00:00,2023-01-14 00:00:00,2,"Southwest Washington","Emergency Visits","3",2024-04-16 07:58:20
"2022-2023",2023-01-08 00:00:00,2023-01-14 00:00:00,2,"Statewide","Hospitalizations","3.9",2024-04-16 07:58:20
"2022-2023",2023-01-08 00:00:00,2023-01-14 00:00:00,2,"Statewide","Emergency Visits","2.6",2024-04-16 07:58:20
"2022-2023",2023-01-08 00:00:00,2023-01-14 00:00:00,2,"Thriving Together NCW","Hospitalizations","2.7",2024-04-16 07:58:20
"2022-2023",2023-01-08 00:00:00,2023-01-14 00:00:00,2,"Thriving Together NCW","Emergency Visits","2",2024-04-16 07:58:20
"2022-2023",2023-01-08 00:00:00,2023-01-14 00:00:00,2,"Unassigned ACH Region","Hospitalizations",,2024-04-16 07:58:20
"2022-2023",2023-01-08 00:00:00,2023-01-14 00:00:00,2,"Unassigned ACH Region","Emergency Visits",,2024-04-16 07:58:20
"2022-2023",2023-01-15 00:00:00,2023-01-21 00:00:00,3,"Better Health Together","Hospitalizations","4.4",2024-04-16 07:58:20
"2022-2023",2023-01-15 00:00:00,2023-01-21 00:00:00,3,"Better Health Together","Emergency Visits","2.6",2024-04-16 07:58:20
"2022-2023",2023-01-15 00:00:00,2023-01-21 00:00:00,3,"Cascade Pacific Action Alliance","Hospitalizations","3.5",2024-04-16 07:58:20
"2022-2023",2023-01-15 00:00:00,2023-01-21 00:00:00,3,"Cascade Pacific Action Alliance","Emergency Visits","2.1",2024-04-16 07:58:20
"2022-2023",2023-01-15 00:00:00,2023-01-21 00:00:00,3,"Elevate Health","Hospitalizations","4.6",2024-04-16 07:58:20
"2022-2023",2023-01-15 00:00:00,2023-01-21 00:00:00,3,"Elevate Health","Emergency Visits","3.1",2024-04-16 07:58:20
"2022-2023",2023-01-15 00:00:00,2023-01-21 00:00:00,3,"Greater Health Now","Hospitalizations","3.3",2024-04-16 07:58:20
"2022-2023",2023-01-15 00:00:00,2023-01-21 00:00:00,3,"Greater Health Now","Emergency Visits","2",2024-04-16 07:58:20
"2022-2023",2023-01-15 00:00:00,2023-01-21 00:00:00,3,"Healthier Here","Hospitalizations","3.2",2024-04-16 07:58:20
"2022-2023",2023-01-15 00:00:00,2023-01-21 00:00:00,3,"Healthier Here","Emergency Visits","2.7",2024-04-16 07:58:20
"2022-2023",2023-01-15 00:00:00,2023-01-21 00:00:00,3,"North Sound","Hospitalizations","4.9",2024-04-16 07:58:20
"2022-2023",2023-01-15 00:00:00,2023-01-21 00:00:00,3,"North Sound","Emergency Visits","3.2",2024-04-16 07:58:20
"2022-2023",2023-01-15 00:00:00,2023-01-21 00:00:00,3,"Olympic Community of Health","Hospitalizations","5",2024-04-16 07:58:20
"2022-2023",2023-01-15 00:00:00,2023-01-21 00:00:00,3,"Olympic Community of Health","Emergency Visits","2",2024-04-16 07:58:20
"2022-2023",2023-01-15 00:00:00,2023-01-21 00:00:00,3,"Southwest Washington","Hospitalizations","3.9",2024-04-16 07:58:20
"2022-2023",2023-01-15 00:00:00,2023-01-21 00:00:00,3,"Southwest Washington","Emergency Visits","2.3",2024-04-16 07:58:20
"2022-2023",2023-01-15 00:00:00,2023-01-21 00:00:00,3,"Statewide","Hospitalizations","3.8",2024-04-16 07:58:20
"2022-2023",2023-01-15 00:00:00,2023-01-21 00:00:00,3,"Statewide","Emergency Visits","2.6",2024-04-16 07:58:20
"2022-2023",2023-01-15 00:00:00,2023-01-21 00:00:00,3,"Thriving Together NCW","Hospitalizations","3.2",2024-04-16 07:58:20
"2022-2023",2023-01-15 00:00:00,2023-01-21 00:00:00,3,"Thriving Together NCW","Emergency Visits","1.7",2024-04-16 07:58:20
"2022-2023",2023-01-15 00:00:00,2023-01-21 00:00:00,3,"Unassigned ACH Region","Hospitalizations",,2024-04-16 07:58:20
"2022-2023",2023-01-15 00:00:00,2023-01-21 00:00:00,3,"Unassigned ACH Region","Emergency Visits",,2024-04-16 07:58:20
"2022-2023",2023-01-22 00:00:00,2023-01-28 00:00:00,4,"Better Health Together","Hospitalizations","3.6",2024-04-16 07:58:20
"2022-2023",2023-01-22 00:00:00,2023-01-28 00:00:00,4,"Better Health Together","Emergency Visits","2",2024-04-16 07:58:20
"2022-2023",2023-01-22 00:00:00,2023-01-28 00:00:00,4,"Cascade Pacific Action Alliance","Hospitalizations","3",2024-04-16 07:58:20
"2022-2023",2023-01-22 00:00:00,2023-01-28 00:00:00,4,"Cascade Pacific Action Alliance","Emergency Visits","1.9",2024-04-16 07:58:20
"2022-2023",2023-01-22 00:00:00,2023-01-28 00:00:00,4,"Elevate Health","Hospitalizations","3.6",2024-04-16 07:58:20
"2022-2023",2023-01-22 00:00:00,2023-01-28 00:00:00,4,"Elevate Health","Emergency Visits","2.9",2024-04-16 07:58:20
"2022-2023",2023-01-22 00:00:00,2023-01-28 00:00:00,4,"Greater Health Now","Hospitalizations","3.6",2024-04-16 07:58:20
"2022-2023",2023-01-22 00:00:00,2023-01-28 00:00:00,4,"Greater Health Now","Emergency Visits","2.1",2024-04-16 07:58:20
"2022-2023",2023-01-22 00:00:00,2023-01-28 00:00:00,4,"Healthier Here","Hospitalizations","3.5",2024-04-16 07:58:20
"2022-2023",2023-01-22 00:00:00,2023-01-28 00:00:00,4,"Healthier Here","Emergency Visits","2.9",2024-04-16 07:58:20
"2022-2023",2023-01-22 00:00:00,2023-01-28 00:00:00,4,"North Sound","Hospitalizations","4.9",2024-04-16 07:58:20
"2022-2023",2023-01-22 00:00:00,2023-01-28 00:00:00,4,"North Sound","Emergency Visits","3.4",2024-04-16 07:58:20
"2022-2023",2023-01-22 00:00:00,2023-01-28 00:00:00,4,"Olympic Community of Health","Hospitalizations","4.4",2024-04-16 07:58:20
"2022-2023",2023-01-22 00:00:00,2023-01-28 00:00:00,4,"Olympic Community of Health","Emergency Visits","1.7",2024-04-16 07:58:20
"2022-2023",2023-01-22 00:00:00,2023-01-28 00:00:00,4,"Southwest Washington","Hospitalizations","4.6",2024-04-16 07:58:20
"2022-2023",2023-01-22 00:00:00,2023-01-28 00:00:00,4,"Southwest Washington","Emergency Visits","2.3",2024-04-16 07:58:20
"2022-2023",2023-01-22 00:00:00,2023-01-28 00:00:00,4,"Statewide","Hospitalizations","3.7",2024-04-16 07:58:20
"2022-2023",2023-01-22 00:00:00,2023-01-28 00:00:00,4,"Statewide","Emergency Visits","2.6",2024-04-16 07:58:20
"2022-2023",2023-01-22 00:00:00,2023-01-28 00:00:00,4,"Thriving Together NCW","Hospitalizations","1.9",2024-04-16 07:58:20
"2022-2023",2023-01-22 00:00:00,2023-01-28 00:00:00,4,"Thriving Together NCW","Emergency Visits","2.4",2024-04-16 07:58:20
"2022-2023",2023-01-22 00:00:00,2023-01-28 00:00:00,4,"Unassigned ACH Region","Hospitalizations",,2024-04-16 07:58:20
"2022-2023",2023-01-22 00:00:00,2023-01-28 00:00:00,4,"Unassigned ACH Region","Emergency Visits",,2024-04-16 07:58:20
"2022-2023",2023-01-29 00:00:00,2023-02-04 00:00:00,5,"Better Health Together","Hospitalizations","3.3",2024-04-16 07:58:20
"2022-2023",2023-01-29 00:00:00,2023-02-04 00:00:00,5,"Better Health Together","Emergency Visits","1.9",2024-04-16 07:58:20
"2022-2023",2023-01-29 00:00:00,2023-02-04 00:00:00,5,"Cascade Pacific Action Alliance","Hospitalizations","4.9",2024-04-16 07:58:20
"2022-2023",2023-01-29 00:00:00,2023-02-04 00:00:00,5,"Cascade Pacific Action Alliance","Emergency Visits","2.4",2024-04-16 07:58:20
"2022-2023",2023-01-29 00:00:00,2023-02-04 00:00:00,5,"Elevate Health","Hospitalizations","3.8",2024-04-16 07:58:20
"2022-2023",2023-01-29 00:00:00,2023-02-04 00:00:00,5,"Elevate Health","Emergency Visits","3",2024-04-16 07:58:20
"2022-2023",2023-01-29 00:00:00,2023-02-04 00:00:00,5,"Greater Health Now","Hospitalizations","4.6",2024-04-16 07:58:20
"2022-2023",2023-01-29 00:00:00,2023-02-04 00:00:00,5,"Greater Health Now","Emergency Visits","2.6",2024-04-16 07:58:20
"2022-2023",2023-01-29 00:00:00,2023-02-04 00:00:00,5,"Healthier Here","Hospitalizations","3.5",2024-04-16 07:58:20
"2022-2023",2023-01-29 00:00:00,2023-02-04 00:00:00,5,"Healthier Here","Emergency Visits","3.1",2024-04-16 07:58:20
"2022-2023",2023-01-29 00:00:00,2023-02-04 00:00:00,5,"North Sound","Hospitalizations","4.5",2024-04-16 07:58:20
"2022-2023",2023-01-29 00:00:00,2023-02-04 00:00:00,5,"North Sound","Emergency Visits","3.2",2024-04-16 07:58:20
"2022-2023",2023-01-29 00:00:00,2023-02-04 00:00:00,5,"Olympic Community of Health","Hospitalizations","4.5",2024-04-16 07:58:20
"2022-2023",2023-01-29 00:00:00,2023-02-04 00:00:00,5,"Olympic Community of Health","Emergency Visits","3",2024-04-16 07:58:20
"2022-2023",2023-01-29 00:00:00,2023-02-04 00:00:00,5,"Southwest Washington","Hospitalizations","3.6",2024-04-16 07:58:20
"2022-2023",2023-01-29 00:00:00,2023-02-04 00:00:00,5,"Southwest Washington","Emergency Visits","2.1",2024-04-16 07:58:20
"2022-2023",2023-01-29 00:00:00,2023-02-04 00:00:00,5,"Statewide","Hospitalizations","3.8",2024-04-16 07:58:20
"2022-2023",2023-01-29 00:00:00,2023-02-04 00:00:00,5,"Statewide","Emergency Visits","2.8",2024-04-16 07:58:20
"2022-2023",2023-01-29 00:00:00,2023-02-04 00:00:00,5,"Thriving Together NCW","Hospitalizations","3",2024-04-16 07:58:20
"2022-2023",2023-01-29 00:00:00,2023-02-04 00:00:00,5,"Thriving Together NCW","Emergency Visits","2.8",2024-04-16 07:58:20
"2022-2023",2023-01-29 00:00:00,2023-02-04 00:00:00,5,"Unassigned ACH Region","Hospitalizations",,2024-04-16 07:58:20
"2022-2023",2023-01-29 00:00:00,2023-02-04 00:00:00,5,"Unassigned ACH Region","Emergency Visits",,2024-04-16 07:58:20
"2022-2023",2023-02-05 00:00:00,2023-02-11 00:00:00,6,"Better Health Together","Hospitalizations","3.6",2024-04-16 07:58:20
"2022-2023",2023-02-05 00:00:00,2023-02-11 00:00:00,6,"Better Health Together","Emergency Visits","2.4",2024-04-16 07:58:20
"2022-2023",2023-02-05 00:00:00,2023-02-11 00:00:00,6,"Cascade Pacific Action Alliance","Hospitalizations","4.4",2024-04-16 07:58:20
"2022-2023",2023-02-05 00:00:00,2023-02-11 00:00:00,6,"Cascade Pacific Action Alliance","Emergency Visits","2.4",2024-04-16 07:58:20
"2022-2023",2023-02-05 00:00:00,2023-02-11 00:00:00,6,"Elevate Health","Hospitalizations","4.2",2024-04-16 07:58:20
"2022-2023",2023-02-05 00:00:00,2023-02-11 00:00:00,6,"Elevate Health","Emergency Visits","2.8",2024-04-16 07:58:20
"2022-2023",2023-02-05 00:00:00,2023-02-11 00:00:00,6,"Greater Health Now","Hospitalizations","4.3",2024-04-16 07:58:20
"2022-2023",2023-02-05 00:00:00,2023-02-11 00:00:00,6,"Greater Health Now","Emergency Visits","2.6",2024-04-16 07:58:20
"2022-2023",2023-02-05 00:00:00,2023-02-11 00:00:00,6,"Healthier Here","Hospitalizations","3.3",2024-04-16 07:58:20
"2022-2023",2023-02-05 00:00:00,2023-02-11 00:00:00,6,"Healthier Here","Emergency Visits","2.8",2024-04-16 07:58:20
"2022-2023",2023-02-05 00:00:00,2023-02-11 00:00:00,6,"North Sound","Hospitalizations","4.7",2024-04-16 07:58:20
"2022-2023",2023-02-05 00:00:00,2023-02-11 00:00:00,6,"North Sound","Emergency Visits","3",2024-04-16 07:58:20
"2022-2023",2023-02-05 00:00:00,2023-02-11 00:00:00,6,"Olympic Community of Health","Hospitalizations","5.5",2024-04-16 07:58:20
"2022-2023",2023-02-05 00:00:00,2023-02-11 00:00:00,6,"Olympic Community of Health","Emergency Visits","3.7",2024-04-16 07:58:20
"2022-2023",2023-02-05 00:00:00,2023-02-11 00:00:00,6,"Southwest Washington","Hospitalizations","4.5",2024-04-16 07:58:20
"2022-2023",2023-02-05 00:00:00,2023-02-11 00:00:00,6,"Southwest Washington","Emergency Visits","2.8",2024-04-16 07:58:20
"2022-2023",2023-02-05 00:00:00,2023-02-11 00:00:00,6,"Statewide","Hospitalizations","4",2024-04-16 07:58:20
"2022-2023",2023-02-05 00:00:00,2023-02-11 00:00:00,6,"Statewide","Emergency Visits","2.8",2024-04-16 07:58:20
"2022-2023",2023-02-05 00:00:00,2023-02-11 00:00:00,6,"Thriving Together NCW","Hospitalizations","4.3",2024-04-16 07:58:20
"2022-2023",2023-02-05 00:00:00,2023-02-11 00:00:00,6,"Thriving Together NCW","Emergency Visits","3.9",2024-04-16 07:58:20
"2022-2023",2023-02-05 00:00:00,2023-02-11 00:00:00,6,"Unassigned ACH Region","Hospitalizations",,2024-04-16 07:58:20
"2022-2023",2023-02-05 00:00:00,2023-02-11 00:00:00,6,"Unassigned ACH Region","Emergency Visits",,2024-04-16 07:58:20
"2022-2023",2023-02-12 00:00:00,2023-02-18 00:00:00,7,"Better Health Together","Hospitalizations","3.8",2024-04-16 07:58:20
"2022-2023",2023-02-12 00:00:00,2023-02-18 00:00:00,7,"Better Health Together","Emergency Visits","2.1",2024-04-16 07:58:20
"2022-2023",2023-02-12 00:00:00,2023-02-18 00:00:00,7,"Cascade Pacific Action Alliance","Hospitalizations","3.9",2024-04-16 07:58:20
"2022-2023",2023-02-12 00:00:00,2023-02-18 00:00:00,7,"Cascade Pacific Action Alliance","Emergency Visits","2.6",2024-04-16 07:58:20
"2022-2023",2023-02-12 00:00:00,2023-02-18 00:00:00,7,"Elevate Health","Hospitalizations","4.1",2024-04-16 07:58:20
"2022-2023",2023-02-12 00:00:00,2023-02-18 00:00:00,7,"Elevate Health","Emergency Visits","2.5",2024-04-16 07:58:20
"2022-2023",2023-02-12 00:00:00,2023-02-18 00:00:00,7,"Greater Health Now","Hospitalizations","3.8",2024-04-16 07:58:20
"2022-2023",2023-02-12 00:00:00,2023-02-18 00:00:00,7,"Greater Health Now","Emergency Visits","2.3",2024-04-16 07:58:20
"2022-2023",2023-02-12 00:00:00,2023-02-18 00:00:00,7,"Healthier Here","Hospitalizations","3.6",2024-04-16 07:58:20
"2022-2023",2023-02-12 00:00:00,2023-02-18 00:00:00,7,"Healthier Here","Emergency Visits","2.7",2024-04-16 07:58:20
"2022-2023",2023-02-12 00:00:00,2023-02-18 00:00:00,7,"North Sound","Hospitalizations","4.2",2024-04-16 07:58:20
"2022-2023",2023-02-12 00:00:00,2023-02-18 00:00:00,7,"North Sound","Emergency Visits","2.9",2024-04-16 07:58:20
"2022-2023",2023-02-12 00:00:00,2023-02-18 00:00:00,7,"Olympic Community of Health","Hospitalizations","5.2",2024-04-16 07:58:20
"2022-2023",2023-02-12 00:00:00,2023-02-18 00:00:00,7,"Olympic Community of Health","Emergency Visits","2.8",2024-04-16 07:58:20
"2022-2023",2023-02-12 00:00:00,2023-02-18 00:00:00,7,"Southwest Washington","Hospitalizations","4.9",2024-04-16 07:58:20
"2022-2023",2023-02-12 00:00:00,2023-02-18 00:00:00,7,"Southwest Washington","Emergency Visits","2.3",2024-04-16 07:58:20
"2022-2023",2023-02-12 00:00:00,2023-02-18 00:00:00,7,"Statewide","Hospitalizations","4",2024-04-16 07:58:20
"2022-2023",2023-02-12 00:00:00,2023-02-18 00:00:00,7,"Statewide","Emergency Visits","2.6",2024-04-16 07:58:20
"2022-2023",2023-02-12 00:00:00,2023-02-18 00:00:00,7,"Thriving Together NCW","Hospitalizations","6.1",2024-04-16 07:58:20
"2022-2023",2023-02-12 00:00:00,2023-02-18 00:00:00,7,"Thriving Together NCW","Emergency Visits","3.2",2024-04-16 07:58:20
"2022-2023",2023-02-12 00:00:00,2023-02-18 00:00:00,7,"Unassigned ACH Region","Hospitalizations",,2024-04-16 07:58:20
"2022-2023",2023-02-12 00:00:00,2023-02-18 00:00:00,7,"Unassigned ACH Region","Emergency Visits",,2024-04-16 07:58:20
"2022-2023",2023-02-19 00:00:00,2023-02-25 00:00:00,8,"Better Health Together","Hospitalizations","4.3",2024-04-16 07:58:20
"2022-2023",2023-02-19 00:00:00,2023-02-25 00:00:00,8,"Better Health Together","Emergency Visits","2.3",2024-04-16 07:58:20
"2022-2023",2023-02-19 00:00:00,2023-02-25 00:00:00,8,"Cascade Pacific Action Alliance","Hospitalizations","3.7",2024-04-16 07:58:20
"2022-2023",2023-02-19 00:00:00,2023-02-25 00:00:00,8,"Cascade Pacific Action Alliance","Emergency Visits","2.4",2024-04-16 07:58:20
"2022-2023",2023-02-19 00:00:00,2023-02-25 00:00:00,8,"Elevate Health","Hospitalizations","3.8",2024-04-16 07:58:20
"2022-2023",2023-02-19 00:00:00,2023-02-25 00:00:00,8,"Elevate Health","Emergency Visits","2.1",2024-04-16 07:58:20
"2022-2023",2023-02-19 00:00:00,2023-02-25 00:00:00,8,"Greater Health Now","Hospitalizations","2.8",2024-04-16 07:58:20
"2022-2023",2023-02-19 00:00:00,2023-02-25 00:00:00,8,"Greater Health Now","Emergency Visits","2.4",2024-04-16 07:58:20
"2022-2023",2023-02-19 00:00:00,2023-02-25 00:00:00,8,"Healthier Here","Hospitalizations","3.2",2024-04-16 07:58:20
"2022-2023",2023-02-19 00:00:00,2023-02-25 00:00:00,8,"Healthier Here","Emergency Visits","2.2",2024-04-16 07:58:20
"2022-2023",2023-02-19 00:00:00,2023-02-25 00:00:00,8,"North Sound","Hospitalizations","4.3",2024-04-16 07:58:20
"2022-2023",2023-02-19 00:00:00,2023-02-25 00:00:00,8,"North Sound","Emergency Visits","2.8",2024-04-16 07:58:20
"2022-2023",2023-02-19 00:00:00,2023-02-25 00:00:00,8,"Olympic Community of Health","Hospitalizations","4.6",2024-04-16 07:58:20
"2022-2023",2023-02-19 00:00:00,2023-02-25 00:00:00,8,"Olympic Community of Health","Emergency Visits","2.8",2024-04-16 07:58:20
"2022-2023",2023-02-19 00:00:00,2023-02-25 00:00:00,8,"Southwest Washington","Hospitalizations","6",2024-04-16 07:58:20
"2022-2023",2023-02-19 00:00:00,2023-02-25 00:00:00,8,"Southwest Washington","Emergency Visits","2.9",2024-04-16 07:58:20
"2022-2023",2023-02-19 00:00:00,2023-02-25 00:00:00,8,"Statewide","Hospitalizations","3.7",2024-04-16 07:58:20
"2022-2023",2023-02-19 00:00:00,2023-02-25 00:00:00,8,"Statewide","Emergency Visits","2.4",2024-04-16 07:58:20
"2022-2023",2023-02-19 00:00:00,2023-02-25 00:00:00,8,"Thriving Together NCW","Hospitalizations","4.3",2024-04-16 07:58:20
